# @(#) options.dat - vTcl Command Options file
# @(#) options.dat 11.54 94/08/02 
#
# File Format :
#   Empty lines (all whitespace ) and lines starting with '#' are ignored
#   All other lines must be resolvable to :
#       OptionString OptionType NoOfArgs ConversionFnOffset
#           string      string     int          int  
#
#       OptionType values describe type of arg following option
#                    F_FLAG
#                    F_STRING
#                    F_STRING_RAY
#                    F_STRING_2D
#                    F_INTEGER
#
#      NoOfArgs is how many arg values follow the option
#        Flag fields have 0 in NumArgs field most others have 1
#
#                ConverterFnOffset has following vals
#                        0   No conversion
#                        1   cvtStringToRay   
#                        2   cvtStringTo2D
#                        3   cvtStringToBoolean

tree			F_STRING	1	0
type	  		F_STRING 	1 	0 
unitType		F_STRING	1	0
userData  		F_STRING 	1 	0
value	  		F_STRING 	1 	0
valueList   		F_STRING_RAY 	1 	1
valueChangedCallback	F_STRING 	1 	0
version  		F_FLAG	 	0 	0
versionString		F_STRING	1	0
vertical  		F_FLAG	 	0 	0
verticalScrollBar	F_INTEGER	1	3
verticalSpacing		F_STRING	1	0
volume                  F_INTEGER	1	0
width			F_STRING	1	0
windowGroup		F_STRING 	1 	0 
wmCloseCallback		F_STRING	1	0
wmDecoration  		F_STRING_RAY 	1 	1
wordWrap		F_FLAG		0 	0
xmArgs   		F_STRING_RAY 	1 	1
